total_prod,agri,industry,minifactural,transports,public_lights,services,total_cons,population,gdp,gdp_pp
241480,4015,129461,118415,7751,4725,40212,243408,56885.124,163019.9218176,28657.74219242275
244424,4107,129128,118043,8123,4894,41705,245954,56898.972,166279.3023488,29223.603960507407
251462,4354,133916,122578,8110,5049,43761,253674,56925.808,170518.7999744,29954.568229299442
259786,4487,137700,126071,8275,5184,45888,260809,56938.736,174489.7441792,30645.173468409976
265657,4682,139698,127577,8289,5374,48525,267284,56945.064,178452.9158144,31337.73206654048
276629,4907,148192,135196,8514,5471,51123,279320,56966.4,186375.1565312,32716.681505448825
278995,5163,150973,136392,8567,5561,53675,285492,56994.992,191027.1901696,33516.48688179481
284401,4890,151314,135813,8967,5700,57131,290960,57107.576,192930.185216,33783.641108493204
293865,5162,152721,136641,9463,5791,61636,299789,57425.176,194766.76608,33916.616307801996
303321,5185,153155,136425,9603,5918,64038,304490,57860.664,199429.3772288,34467.177429695585
303672,5364,153727,136730,9918,6103,67772,309817,58199.876,202924.3465728,34866.80050191172
314090,5504,156151,139182,10219,6372,71684,317533,58429.904,208655.3649152,35710.37270833099
313888,5659,155804,137724,10404,5997,73869,318953,58778.48,213437.186048,36312.1309104965
319130,5670,151367,133166,10839,6344,76427,319037,59224.228,212911.325184,35950.0380796859
292642,5650,130506,112516,10535,6317,77982,299915,59562.844,202902.3002624,34065.247163550484
302062,5610,138439,119897,10666,6366,79253,309885,59822.452,208054.5964032,34778.680820906506
302570,5907,140040,120173,10720,6202,80783,313792,60025.952,211088.3364864,35166.17886983284
299275,5923,130801,112493,10759,6261,84019,307220,60190.152,204795.9891968,34024.8333642354
289803,5677,124871,107629,10774,5977,83005,297288,60312.6,201025.5327232,33330.60301217325
279829,5372,122505,105684,10462,5885,82604,291084,60322.792,201016.410112,33323.459251024055
